Year,Q1,Q2,Q3,Q4,Q1milU,Q2milU,Q3milU,Q4milU,ModelMake,Region,,,,,,,,,,,,,,,,,,
2008,2.32,1.7,0.72,6.89,2320000,1700000,720000,6890000,Apple,Global,,,,,,,,,,,,,,,,,,
2009,4.36,3.79,5.21,7.37,4360000,3790000,5210000,7370000,Apple,Global,,,,,,,,,,,,,,,,,,
2010,8.74,8.75,8.4,14.1,8740000,8750000,8400000,14100000,Apple,Global,,,,,,,,,,,,,,,,,,
2011,16.24,18.65,20.34,17.07,16240000,18650000,20340000,17070000,Apple,Global,,,,,,,,,,,,,,,,,,
2012,37.04,35.06,26.03,26.91,37040000,35060000,26030000,26910000,Apple,Global,,,,,,,,,,,,,,,,,,
2013,47.79,37.43,31.24,33.8,47790000,37430000,31240000,33800000,Apple,Global,,,,,,,,,,,,,,,,,,
2014,51.03,43.72,35.2,39.27,51030000,43720000,35200000,39270000,Apple,Global,,,,,,,,,,,,,,,,,,
2015,74.47,61.17,47.53,48.05,74470000,61170000,47530000,48050000,Apple,Global,,,,,,,,,,,,,,,,,,
2016,74.78,51.19,40.16,45.51,74780000,51190000,40160000,45510000,Apple,Global,,,,,,,,,,,,,,,,,,
2017,78.29,50.76,41.03,46.68,78290000,50760000,41030000,46680000,Apple,Global,,,,,,,,,,,,,,,,,,
2018,77.32,52.22,41.3,46.89,77320000,52220000,41300000,46890000,Apple,Global,,,,,,,,,,,,,,,,,,
2010,4.021274,4.025875,3.86484,6.48741,4021274,4025875,3864840,6487410,Apple,UK,,,,,,,,,,,,,,,,,,
2011,7.12936,8.18735,8.92926,7.49373,7129360,8187350,8929260,7493730,Apple,UK,,,,,,,,,,,,,,,,,,
2012,17.312496,16.387044,12.166422,12.577734,17312496,16387044,12166422,12577734,Apple,UK,,,,,,,,,,,,,,,,,,
2013,20.736081,16.240877,13.555036,14.66582,20736081,16240877,13555036,14665820,Apple,UK,,,,,,,,,,,,,,,,,,
2014,22.953294,19.665256,15.83296,17.663646,22953294,19665256,15832960,17663646,Apple,UK,,,,,,,,,,,,,,,,,,
2015,34.92643,28.68873,22.29157,22.53545,34926430,28688730,22291570,22535450,Apple,UK,,,,,,,,,,,,,,,,,,
2016,33.187364,22.718122,17.823008,20.197338,33187364,22718122,17823008,20197338,Apple,UK,,,,,,,,,,,,,,,,,,
2017,38.393416,24.892704,20.121112,22.891872,38393416,24892704,20121112,22891872,Apple,UK,,,,,,,,,,,,,,,,,,
2018,39.340416,26.569536,21.01344,23.857632,39340416,26569536,21013440,23857632,Apple,UK,,,,,,,,,,,,,,,,,,
2010,2.01457,2.016875,1.9362,3.25005,2014570,2016875,1936200,3250050,Apple,US,,,,,,,,,,,,,,,,,,
2011,3.571652858,4.101682623,4.473363247,3.75419423,3571652.858,4101682.623,4473363.247,3754194.23,Apple,US,,,,,,,,,,,,,,,,,,
2012,8.673180456,8.20954932,6.095110348,6.301168631,8673180.456,8209549.32,6095110.348,6301168.631,Apple,US,,,,,,,,,,,,,,,,,10.21,3.22
2013,10.38832139,8.136322861,6.790775479,7.34725388,10388321.39,8136322.861,6790775.479,7347253.88,Apple,US,,,,,,,,,,,,,,,,,11.21,1.86
2014,11.49909643,9.851861569,7.931965399,8.849098898,11499096.43,9851861.569,7931965.399,8849098.898,Apple,US,,,,,,,,,,,,,,,,,10.18,2.49
2015,17.49737473,14.37242396,11.16758723,11.28976576,17497374.73,14372423.96,11167587.23,11289765.76,Apple,US,,,,,,,,,,,,,,,,,8.98,4.1
2016,16.62614084,11.38128042,8.928935762,10.11842297,16626140.84,11381280.42,8928935.762,10118422.97,Apple,US,,,,,,,,,,,,,,,,,10.26,5.77
2017,19.23425861,12.47069827,10.08023542,11.46832536,19234258.61,12470698.27,10080235.42,11468325.36,Apple,US,,,,,,,,,,,,,,,,,9.23,7.92
2018,19.70868483,13.31075429,10.52727216,11.95214992,19708684.83,13310754.29,10527272.16,11952149.92,Apple,US,,,,,,,,,,,,,,,,,11.33,4.49
2010,1.316244,1.31775,1.26504,2.12346,1316244,1317750,1265040,2123460,Apple,China,,,,,,,,,,,,,,,,,12.55,5.24
2011,2.333583169,2.679884612,2.922726703,2.452848811,2333583.169,2679884.612,2922726.703,2452848.811,Apple,China,,,,,,,,,,,,,,,,,14.13,3.69
2012,5.666728749,5.363809664,3.982315047,4.116945752,5666728.749,5363809.664,3982315.047,4116945.752,Apple,China,,,,,,,,,,,,,,,,,,
2013,6.787337098,5.31596626,4.436836387,4.80041837,6787337.098,5315966.26,4436836.387,4800418.37,Apple,China,,,,,,,,,,,,,,,,,,
2014,7.513075584,6.4368345,5.182446807,5.781667219,7513075.584,6436834.5,5182446.807,5781667.219,Apple,China,,,,,,,,,,,,,,,,,,
2015,11.43212423,9.390399344,7.296479987,7.376306825,11432124.23,9390399.344,7296479.987,7376306.825,Apple,China,,,,,,,,,,,,,,,,,,
2016,10.86289289,7.436099051,5.833829613,6.610995659,10862892.89,7436099.051,5833829.613,6610995.659,Apple,China,,,,,,,,,,,,,,,,,,
2017,12.5669386,8.147883552,6.586045354,7.492970926,12566938.6,8147883.552,6586045.354,7492970.926,Apple,China,,,,,,,,,,,,,,,,,,
2018,12.87691078,8.69674445,6.878122286,7.809083632,12876910.78,8696744.45,6878122.286,7809083.632,Apple,China,,,,,,,,,,,,,,,,,,
2010,0.768246,0.769125,0.73836,1.23939,768246,769125,738360,1239390,Apple,Canada,,,,,,,,,,,,,,,,,,
2011,1.362031611,1.56415576,1.705894271,1.431642832,1362031.611,1564155.76,1705894.271,1431642.832,Apple,Canada,,,,,,,,,,,,,,,,,,
2012,3.307473155,3.130669784,2.324339261,2.402918536,3307473.155,3130669.784,2324339.261,2402918.536,Apple,Canada,,,,,,,,,,,,,,,,,,
2013,3.961533406,3.102745247,2.589627612,2.801837814,3961533.406,3102745.247,2589627.612,2801837.814,Apple,Canada,,,,,,,,,,,,,,,,,,
2014,4.385121805,3.756957188,3.024814571,3.374558755,4385121.805,3756957.188,3024814.571,3374558.755,Apple,Canada,,,,,,,,,,,,,,,,,,
2015,6.67253466,5.480850613,4.258702463,4.305294621,6672534.66,5480850.613,4258702.463,4305294.621,Apple,Canada,,,,,,,,,,,,,,,,,,
2016,6.340294057,4.340193271,3.405004136,3.85860902,6340294.057,4340193.271,3405004.136,3858609.02,Apple,Canada,,,,,,,,,,,,,,,,,,
